IV1,IV2,DV
12,748,7.8
8,747,9.6
5,1606,12.1
6,643,6.6
7,2377,11.9
11,840,8.7
4,285,6.0
11,1288,6.7
0,506,9.1
3,2094,12.2
11,402,6.9
8,243,5.0
7,834,8.6
13,1889,8.7
9,1252,8.3
3,524,8.8
17,2058,11.1
0,2377,12.5
7,1906,12.9
0,406,10.0
14,540,5.1
0,489,7.6
9,1013,7.4
2,828,5.0
5,951,10.9
7,1648,13.4
1,472,10.4
5,1238,9.7
6,1204,8.0
3,529,6.7
3,988,10.6
2,728,12.7
1,894,6.6
4,1503,12.0
6,787,10.3
5,1086,13.2
4,1013,7.3
0,441,8.5
2,768,11.3
3,316,5.5
5,1791,10.9
7,569,6.2
5,1002,5.6
1,794,9.0
4,1223,9.5
10,1573,8.3
0,561,13.1
1,1916,12.6
0,781,11.3
0,730,5.6
2,366,10.0
3,455,5.5
0,346,5.3
4,985,7.0
1,420,9.7
6,231,5.8
6,1983,14.8
1,1766,14.5
10,1781,13.5
5,1217,13.6
10,1115,8.5
15,2076,12.3
3,376,7.9
2,633,5.8
14,2010,13.7
0,2081,14.4
0,1431,10.9
18,1767,10.7
11,1202,10.2
1,866,5.8
4,1040,10.3
13,1634,13.2
12,588,5.2
14,699,5.3
1,592,9.1
19,404,5.2
0,899,7.2
15,2266,11.9
16,2457,14.8
5,234,5.2
18,613,5.1
4,439,8.4
5,576,12.4
3,884,7.0
4,1567,13.5
0,844,14.0
4,575,5.1
0,455,6.7
2,835,13.1
0,601,12.3
2,1270,13.6
7,1478,12.4
15,1948,11.8
14,2055,13.9
12,697,7.1
10,1493,9.8
4,725,5.5
6,618,7.9
7,1310,7.7
1,2246,13.0
10,913,5.1
1,394,10.3
3,1309,13.4
11,426,5.7
17,1812,10.7
0,399,13.0
4,1238,8.6
6,358,6.9
8,2232,14.7
0,496,10.6
8,1550,10.8
5,1646,13.3
1,1650,14.6
12,2013,12.4
6,1637,12.1
1,1997,10.7
17,1899,11.4
17,2680,15.0
0,753,13.8
9,528,7.4
7,2408,14.1
1,1038,11.0
12,1552,12.0
6,947,7.6
15,1549,8.6
3,1417,12.1
11,1164,6.9
13,773,5.8
0,1081,9.5
1,518,10.3
3,554,9.1
9,1417,8.1
0,571,11.5
1,1047,10.3
11,1516,9.7
7,1009,11.5
2,1235,11.2
1,777,8.7
0,393,5.6
0,1854,14.1
2,1846,14.1
9,2222,14.5
17,1206,8.7
5,1915,11.4
2,1431,13.1
4,824,9.1
10,139,5.0
1,728,11.1
1,311,10.7
4,2019,13.6
3,1362,13.8
10,830,9.2
9,1630,13.2
0,925,9.5
0,890,13.0
7,1728,13.4
2,633,8.1
17,1512,8.4
5,1308,10.8
7,1952,11.7
0,849,12.4
0,1140,10.4
1,1026,13.3
15,526,7.2
6,1982,11.9
14,1671,10.9
3,922,11.6
7,1192,7.9
12,541,5.8
2,1924,12.4
7,1376,9.6
10,1969,9.9
3,1804,14.3
6,1051,8.1
0,683,12.1
4,719,6.3
16,2717,13.6
3,984,10.9
16,1887,10.6
6,1303,8.8
2,278,6.1
16,1097,6.2
11,1130,12.3
4,1213,10.9
10,2153,12.5
3,2314,12.1
11,1020,7.7
17,570,6.5
0,517,8.5
0,911,7.5
2,1078,11.5
11,844,10.6
2,966,8.6
10,2006,12.5
2,393,5.1
0,1933,12.6
4,989,7.4
8,441,5.1
1,1025,8.2
1,726,14.3
6,1249,13.6
3,1060,5.7
3,706,7.7
5,1131,8.1
4,1212,10.3
4,880,5.6
5,2379,14.1
8,828,10.4
1,806,6.8
3,292,6.7
12,1482,10.3
0,1291,13.9
7,1464,11.9
0,1071,13.1
2,1243,12.9
3,1863,13.1
0,241,6.6
0,667,9.7
9,778,5.5
4,1083,14.9
4,1031,7.4
1,2072,14.0
14,595,5.2
0,243,11.2
0,977,12.3
1,866,11.2
4,845,9.7
1,1088,11.3
6,1192,11.5
21,2266,11.1
10,1621,10.9
5,2056,11.9
6,1036,11.3
1,688,12.8
0,577,8.5
15,1798,11.8
11,1208,7.6
7,728,12.6
3,2564,14.9
1,2700,15.0
2,1550,14.2
14,1409,10.1
0,921,11.8
3,1590,11.1
3,1273,8.1
5,854,13.2
15,610,6.1
0,424,10.1
3,1896,14.2
7,501,6.3
1,1134,8.4
10,3025,15.0
1,1178,8.5
2,3051,14.4
18,1141,8.9
2,958,8.9
1,322,5.4
8,2217,14.5
19,2500,12.5
1,1050,9.8
1,548,14.5
2,1965,13.2
0,301,9.4
6,707,7.2
10,219,5.4
1,902,5.3
1,806,5.5
16,1977,11.5
0,1084,11.8
6,826,6.0
0,424,13.2
19,2642,12.4
10,486,5.5
10,1259,11.4
16,1508,9.4
1,1008,8.3
18,2819,14.1
15,1616,9.7
2,1005,13.6
12,1393,11.0
1,1040,13.1
0,1131,9.0
2,871,5.6
0,738,10.5
1,622,9.4
12,1079,12.0
5,168,5.7
0,755,10.4
23,2199,10.3
1,590,7.9
0,2359,13.1
12,849,5.5
13,2360,14.6
8,126,5.0
1,1082,7.3
3,417,5.9
1,1493,13.3
15,416,6.0
2,1293,8.5
4,1209,10.4
14,990,5.4
1,704,8.8
0,1087,9.5
0,153,8.6
5,531,7.0
0,673,7.0
1,814,11.4
0,1489,11.7
6,599,8.0
9,960,8.0
3,1084,9.4
10,1019,8.2
10,1375,11.6
3,760,6.9
10,1667,14.9
5,104,5.0
1,657,8.3
7,1373,9.2
2,1243,7.0
15,1365,10.5
11,1482,9.6
6,710,5.8
14,1735,10.1
6,1265,10.1
3,1831,14.7
5,1761,13.8
0,557,11.0
1,947,14.2
6,1267,6.9
2,1029,5.8
16,2157,14.3
17,818,5.3
3,1726,11.1
14,939,5.2
10,1265,8.7
0,916,11.3
9,2518,13.3
9,610,6.2
1,1292,13.4
0,356,11.4
11,1128,6.9
10,1320,9.8
0,1585,13.0
2,1355,9.7
7,718,7.1
0,487,6.6
9,879,8.0
0,1327,13.2
3,1114,8.3
3,2095,14.9
9,1520,12.0
0,409,5.4
12,1453,10.5
2,238,6.7
6,1645,11.5
21,1222,6.2
4,915,6.3
4,785,5.7
1,572,10.0
15,2454,12.4
0,961,6.3
3,732,5.5
7,1870,12.6
1,942,9.8
1,1352,8.3
1,338,10.0
7,1394,9.6
0,918,7.1
1,1850,8.6
9,658,9.0
6,1184,13.0
0,897,7.7
5,875,10.1
2,635,13.1
8,1589,14.4
2,1073,7.1
5,1236,11.8
5,958,10.6
2,1515,10.7
4,1373,10.0
1,464,6.8
9,989,9.1
0,1297,13.5
2,957,8.6
17,2458,12.5
16,857,5.1
0,595,12.2
0,609,10.6
13,1674,11.7
7,2722,14.0
15,1816,13.7
16,827,6.9
0,513,6.9
0,1635,12.1
6,1253,13.5
1,796,6.5
9,892,6.5
7,1008,8.0
2,1053,12.4
11,2273,13.4
13,2082,13.9
3,880,13.6
2,1125,11.2
1,1274,13.3
8,894,7.3
5,874,10.3
3,724,14.8
0,892,10.9
6,1727,12.6
4,555,8.5
11,642,5.7
4,1178,6.8
7,936,14.7
2,465,10.4
5,1086,12.1
2,598,10.4
6,687,6.5
12,1588,9.1
13,1074,7.1
6,1456,12.0
12,1945,12.3
0,757,14.2
2,1725,8.7
12,2609,14.2
3,1012,6.9
1,1497,9.2
10,655,5.0
9,1466,11.2
13,1647,9.6
2,2835,14.9
7,848,7.6
4,2630,14.3
2,495,10.4
0,901,7.6
11,1812,10.8
8,1435,8.5
6,1666,14.8
15,849,5.9
1,1137,10.3
1,688,5.9
3,2524,14.8
8,1019,13.9
7,1300,8.6
2,843,14.1
2,507,7.1
2,1013,9.9
1,1009,8.9
7,1658,12.9
5,162,5.3
0,737,8.3
4,957,14.7
6,945,7.1
6,1323,14.5
12,1209,6.7
4,1059,6.2
0,1497,11.0
0,303,14.6
1,2360,14.8
11,493,6.1
8,1099,7.1
11,909,8.1
17,1038,9.3
7,1160,11.0
1,1655,12.4
0,1607,9.9
0,808,9.2
9,1450,9.4
3,1071,7.3
2,1023,14.0
1,272,5.0
1,1850,14.9
3,730,6.8
3,1652,12.0
18,1573,9.1
6,2135,13.4
4,320,5.6
3,1112,15.0
2,1071,8.9
20,2331,13.7
13,1534,10.7
0,911,9.0
1,2070,9.9
5,2426,14.7
0,1821,15.0
3,851,10.6
1,426,8.4
4,2007,11.6
17,2568,13.8
13,2494,13.7
6,652,8.1
1,582,10.2
8,1605,10.6
1,1202,10.6
0,716,10.4
2,1839,10.8
0,557,14.0
0,1246,9.5
12,1651,13.2
12,419,5.2
0,2094,14.3
6,1203,12.8
5,1650,10.9
5,1462,15.0
4,1592,8.3
2,2027,12.5
1,3026,13.5
1,382,9.8
4,1799,12.3
3,809,5.6
4,2323,14.6
1,695,6.5
1,1120,11.6
5,2806,14.4
17,1266,7.0
3,1184,6.5
2,1095,6.5
4,1067,8.6
4,1960,9.4
4,1553,13.8
5,690,10.2
2,1004,8.9
1,1406,12.7
16,454,6.1
16,2465,14.1
1,1247,14.7
7,1156,6.3
3,655,6.6
13,1876,13.9
0,482,12.7
5,870,10.2
12,1933,10.9
8,945,6.4
5,1168,7.5
8,979,6.8
0,1342,11.9
8,1016,6.1
2,894,9.2
10,1915,14.6
16,357,6.2
1,1952,10.5
9,2701,14.2
2,885,6.1
5,1176,9.0
0,561,11.3
0,174,8.5
0,626,9.0
6,2375,14.7
1,1370,11.5
9,460,5.9
0,931,6.8
12,1558,12.7
19,2300,14.1
9,532,7.2
1,554,5.9
6,2377,14.9
10,2519,14.9
4,1185,9.3
9,580,7.1
9,1102,8.5
1,1442,10.2
0,964,13.3
0,546,14.1
12,640,6.5
1,402,5.8
0,784,12.0
9,1546,13.9
22,828,6.7
1,705,7.8
6,975,7.7
4,671,13.0
16,2342,11.3
3,704,11.5
8,945,10.3
7,1217,7.1
9,986,7.8
0,911,9.7
9,670,10.1
3,1090,13.6
1,746,5.4
6,1367,7.8
11,1277,8.5
3,1939,14.4
8,1785,10.8
10,2096,14.4
4,1045,6.3
0,1000,5.8
15,2064,14.5
10,2123,11.6
5,788,6.9
0,1121,14.5
10,2102,14.7
0,617,6.4
3,526,9.0
0,451,10.9
4,2477,12.1
3,896,11.2
0,238,7.7
2,1318,13.0
3,1194,9.9
18,2375,13.0
4,1457,10.2
3,364,5.0
8,735,9.0
8,1647,12.3
1,1522,8.2
0,559,7.3
0,603,14.7
2,1818,13.2
13,869,5.8
4,1605,10.5
17,2043,10.7
4,1310,7.8
15,1442,7.3
17,474,5.7
1,1172,15.0
8,1439,9.6
0,747,5.7
2,1214,12.1
8,1389,9.7
9,706,6.4
16,1567,8.6
1,446,5.4
1,756,7.2
4,1301,7.2
4,689,7.0
2,1203,11.1
1,2132,12.6
0,801,14.4
17,643,6.3
4,1335,9.2
2,663,9.0
6,728,5.4
11,1324,11.9
0,611,13.2
19,1952,13.5
15,2122,13.5
5,650,6.9
1,657,10.0
1,2927,13.1
2,359,9.9
19,1180,6.1
8,842,7.2
5,746,10.2
10,1835,10.5
3,950,5.9
16,1079,5.7
6,612,5.9
1,800,9.6
3,1084,8.1
2,1283,8.1
6,1320,9.9
8,1305,7.7
2,1119,7.7
20,2375,12.8
5,466,5.6
3,609,6.6
6,1036,13.7
11,1548,9.5
8,1065,7.6
1,1927,10.9
4,1373,10.6
15,1194,7.1
21,1422,8.0
11,1868,14.9
11,552,5.4
0,546,8.9
3,879,7.8
3,1486,8.1
3,1324,9.1
1,998,9.0
1,1172,13.7
0,585,6.3
3,388,6.0
3,2180,13.6
0,853,7.0
1,1922,12.5
0,1018,14.9
19,1160,7.5
18,1951,10.1
2,763,5.0
22,1265,7.9
18,1976,14.6
0,741,11.0
0,523,6.8
11,1776,11.9
3,1384,14.2
2,1713,9.9
1,437,10.8
16,1343,9.9
10,671,8.7
2,987,9.8
0,281,6.8
9,1315,10.4
3,796,10.4
0,841,10.8
0,409,8.2
5,734,5.5
5,1182,8.7
2,1987,11.4
2,1238,13.1
6,881,5.5
1,1392,14.3
1,1077,9.2
11,1689,13.0
13,2030,14.2
9,865,5.2
4,1006,11.9
11,1062,5.4
2,311,7.3
4,905,8.8
5,1496,12.1
10,2930,14.5
6,1404,11.8
3,490,6.0
1,1046,12.3
2,1103,7.8
0,919,14.7
3,699,10.1
14,703,6.7
13,1674,8.7
2,1111,12.9
2,3292,15.0
17,1122,6.1
18,640,6.2
6,1418,12.1
10,385,5.9
1,2488,13.7
5,1227,12.2
1,274,7.4
4,1357,11.0
0,465,15.0
1,2162,13.6
7,426,5.1
4,1292,8.4
1,761,6.8
10,1383,13.7
8,1395,11.9
1,1234,14.0
11,1452,9.2
21,2860,14.4
19,724,6.5
19,2572,14.8
7,1708,11.1
10,1199,14.1
0,737,12.8
0,1081,13.6
7,718,6.3
4,1773,14.6
7,790,5.4
2,1373,12.6
12,1203,7.9
11,1272,12.1
11,1412,10.2
7,1035,10.3
1,896,14.8
6,227,5.6
3,2884,14.9
0,851,11.6
1,834,6.0
2,1103,11.3
5,2262,14.7
8,1591,13.4
3,1796,11.2
1,1920,12.7
0,664,14.8
9,1930,11.9
16,1689,10.9
0,631,5.5
15,1879,12.5
12,2445,14.8
0,1057,8.6
10,957,7.4
7,2234,14.0
5,966,9.0
5,1501,8.3
3,2248,12.4
0,1626,7.9
0,323,8.8
0,716,8.5
8,1941,11.0
4,752,8.1
3,1317,7.7
0,859,12.3
12,1014,8.5
13,1422,10.0
6,1495,12.6
3,664,11.3
0,2416,13.8
3,1324,12.2
1,1007,11.0
8,1089,13.7
11,2197,12.6
13,854,6.4
2,1598,11.2
5,1282,12.1
10,2078,14.8
0,211,7.3
5,262,6.0
1,1290,10.7
20,756,5.8
11,493,5.0
4,425,5.1
0,456,6.1
7,1317,9.0
20,1485,9.3
8,1143,11.9
10,2477,14.2
0,436,7.6
0,843,7.3
1,598,12.8
6,1447,12.9
7,1216,13.1
5,1480,8.6
0,1208,10.8
15,2200,12.7
18,2059,14.4
0,619,13.3
14,1327,10.5
6,1869,9.9
18,355,5.0
5,1458,14.7
6,595,10.7
4,789,6.9
1,1244,11.4
3,974,11.0
1,270,8.9
2,1749,12.2
7,943,11.1
8,757,9.8
24,2175,11.5
1,774,11.6
2,2203,13.4
13,950,8.6
3,1657,12.1
3,604,10.6
3,1566,14.8
1,980,13.5
14,1470,10.5
2,423,5.8
2,499,11.8
2,1290,10.6
0,1513,15.0
2,1419,15.0
10,401,7.0
4,1115,10.2
9,2118,12.1
6,865,5.1
3,1858,11.1
1,938,12.8
2,371,5.5
8,750,7.7
17,1296,9.1
0,716,13.6
0,609,7.7
16,2091,12.2
10,1012,10.5
17,2393,13.0
1,340,7.5
2,1557,14.8
2,1334,11.8
17,2538,13.8
3,620,6.4
2,2451,14.9
19,2340,12.5
2,913,11.7
8,1435,7.1
6,1415,11.1
4,797,7.1
5,1247,7.8
11,762,6.7
0,1231,13.5
5,1579,14.1
3,3172,14.6
4,1409,11.9
2,1863,13.0
3,1272,13.1
21,1097,6.8
17,1418,10.5
2,823,10.2
1,1874,11.7
7,840,7.3
0,340,15.0
4,1255,8.7
1,298,5.0
0,257,6.3
0,727,5.6
0,901,6.8
1,1080,12.9
7,1228,11.0
3,754,5.8
16,2417,14.0
7,280,7.0
0,865,12.6
1,398,7.0
0,1184,10.2
1,520,9.0
0,559,14.2
4,285,8.6
1,677,11.1
12,1336,10.5
9,2410,12.9
2,289,6.0
11,1128,12.4
5,750,8.2
12,1077,5.9
1,860,5.6
16,1461,10.6
6,399,5.5
5,1622,12.4
7,878,5.1
16,1025,5.3
6,1519,10.1
9,402,6.0
4,1076,13.5
12,2389,11.9
8,1224,9.8
3,1896,11.6
1,898,10.0
1,2950,14.5
3,412,5.0
4,581,5.0
8,1182,5.9
2,2323,14.7
3,2144,11.8
9,850,8.7
11,636,5.3
4,1525,10.6
1,1418,9.9
3,1804,9.1
0,820,11.9
3,1189,9.9
8,934,7.6
1,2018,13.6
11,2375,13.8
21,1347,7.9
3,967,9.7
0,272,8.7
20,1680,11.4
5,972,7.3
0,902,5.8
9,748,6.3
12,1210,7.9
0,681,10.2
0,919,10.7
2,1278,11.1
14,1341,7.6
9,520,6.9
2,1209,10.1
1,502,5.2
7,2528,13.5
1,706,8.7
8,1021,6.3
4,1367,11.5
17,1677,9.9
8,1329,8.0
0,1169,13.9
14,1117,6.8
1,1658,13.7
22,1679,8.5
17,2034,11.0
1,360,12.9
0,715,10.1
4,1783,14.6
21,982,5.0
0,866,14.0
1,978,10.9
11,1252,10.3
5,462,6.0
13,2173,13.8
1,840,7.7
4,390,10.6
14,843,5.1
1,1892,10.7
16,1491,7.9
3,766,5.1
4,2580,11.5
11,562,6.4
0,513,5.3
11,1720,12.1
2,1299,6.5
3,1114,14.6
6,1474,13.2
11,2052,13.5
15,1336,6.5
0,1037,11.7
13,2314,13.2
9,1777,13.2
4,1148,12.1
8,1129,14.7
1,577,11.4
3,826,13.4
0,901,7.6
0,1057,6.9
7,882,7.7
1,542,5.1
8,1465,13.6
20,2229,12.8
9,1286,12.2
19,966,8.2
3,2524,14.0
12,373,5.5
8,1059,8.7
1,514,9.4
6,2399,11.7
2,2229,12.6
7,2456,13.9
2,2179,13.2
1,458,8.8
13,1414,11.0
4,203,5.1
10,1985,11.8
5,713,9.7
4,950,5.0
8,396,5.0
8,1377,9.4
12,1356,9.6
13,2264,11.2
1,2008,14.9
4,1749,14.9
5,755,8.8
2,398,9.0
3,934,5.3
3,706,9.2
3,1156,12.2
0,460,8.3
1,996,5.8
11,1980,13.8
0,681,8.4
9,1712,10.1
7,1558,13.2
2,1328,6.4
12,1000,5.4
13,1272,9.3
6,1183,14.2
4,1005,13.0
6,1171,7.5
6,1127,10.0
11,1434,8.5
8,567,9.8
4,718,6.0
19,922,5.8
0,1939,11.3
2,591,10.0
11,518,5.3
4,2164,12.3
2,438,5.2
3,1234,13.5
5,1266,11.5
2,1479,13.9
12,1714,10.4
0,1585,14.8
1,1102,6.7
4,820,9.0
11,688,7.1
10,825,6.6
2,1843,10.7
2,1198,10.9
1,1026,10.9
1,893,6.1
7,1147,8.8
3,1996,12.6
9,634,6.7
24,2550,11.8
4,1835,13.8
0,324,5.9
7,260,6.6
3,1384,13.0
15,528,6.0
0,463,11.8
12,754,8.5
17,2746,14.6
14,585,5.0
1,398,6.5
2,813,12.8
1,872,8.7
7,899,9.1
0,1565,11.0
11,1076,9.9
1,992,5.3
10,1731,9.7
4,1075,11.4
15,768,9.0
10,809,5.8
2,233,5.6
13,2164,10.1
9,770,5.5
9,2260,11.4
7,1048,13.3
15,1114,6.5
6,359,6.1
4,635,13.4
7,1133,12.8
6,1675,12.7
7,1870,11.7
0,709,11.4
3,1706,11.3
6,959,7.9
4,1595,12.6
7,1672,11.4
9,1297,10.9
5,1266,8.5
6,2821,14.1
3,1632,9.5
0,1071,9.8
7,1428,10.4
2,773,11.5
4,733,10.2
1,2386,14.2
10,2196,11.6
0,1189,13.9
3,532,11.4
7,1395,9.9
3,2004,9.7
11,2140,14.5
2,195,6.9
5,1665,14.7
9,1957,14.3
16,1581,11.1
12,1971,11.9
22,767,5.1
1,922,14.2
0,457,5.7
4,1591,10.8
1,557,10.0
0,1289,14.1
6,749,6.3
5,1961,11.6
11,2197,12.4
2,1362,14.3
17,2768,13.1
14,1303,6.8
0,597,14.0
19,1640,12.0
2,472,8.8
4,659,7.4
6,1267,10.5
10,1379,13.5
21,742,7.4
1,1262,12.6
0,241,8.7
4,335,8.8
20,3096,14.3
6,1159,7.9
10,1621,9.4
4,1195,10.9
3,494,5.6
0,1026,7.4
16,1667,9.4
1,418,5.5
7,984,7.5
3,804,6.1
3,1978,13.5
6,1870,10.2
6,1679,13.5
3,594,7.9
15,848,6.5
15,640,6.3
1,1007,11.8
8,1389,11.3
1,778,9.5
7,350,5.9
1,506,14.7
12,1005,8.7
14,1324,9.3
0,795,13.3
3,1048,12.3
11,2028,12.9
2,836,7.5
15,476,5.5
7,764,7.3
2,1580,9.0
0,1165,11.5
4,2075,12.4
4,2183,12.6
3,326,5.2
3,479,7.3
3,952,12.0
3,396,8.3
14,1620,10.5
20,2621,13.4
20,933,8.4
1,2126,14.7
10,908,7.7
12,1738,10.1
0,673,7.5
10,660,5.0
0,981,8.8
8,1166,7.7
9,2746,12.8
12,1237,6.5
6,1783,10.8
2,1488,10.7
5,1031,7.9
16,1121,5.6
0,681,5.2
13,728,6.1
5,1241,7.2
0,760,13.1
5,1350,13.3
1,994,13.1
7,2155,14.8
16,1617,10.9
3,1555,13.4
0,703,6.1
2,309,9.6
11,1012,7.6
5,1094,8.1
8,1166,11.6
2,1110,11.6
1,1205,12.1
5,1749,11.1
8,1983,13.4
13,1058,8.3
0,837,14.7
5,2438,14.6
13,1578,13.5
0,810,6.9
7,701,9.2
5,1257,11.8
0,980,12.3
17,1382,10.4
0,1807,10.6
1,332,9.3
0,235,13.4
1,457,8.8
2,871,13.9
13,2237,11.8
6,1132,9.2
1,797,8.7
3,1246,10.6
6,1543,12.1
3,508,6.2
10,1389,8.3
1,290,14.4
8,251,6.1
11,1708,12.2
2,411,12.6
22,1498,7.1
2,2451,13.6
3,1489,10.5
7,1968,10.7
1,348,7.9
4,1699,12.8
12,754,7.8
5,978,11.7
0,1420,11.7
4,875,13.0
10,300,5.0
1,850,10.5
5,1056,6.7
0,641,6.2
8,999,6.1
1,934,14.4
2,138,6.2
6,2023,14.4
2,1407,13.1
8,1605,8.8
2,1576,12.2
1,562,8.1
10,1915,12.6
7,1022,7.8
0,715,5.4
1,927,14.5
2,780,13.6
0,781,14.8
20,1125,5.9
0,356,5.6
14,1489,10.0
0,1357,12.7
1,1120,6.3
5,1462,11.9
4,965,10.7
9,1557,9.3
1,1172,10.1
1,1250,13.2
0,371,11.1
14,1239,8.4
4,412,6.2
